datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2020-08-11,30.5,22.0,26.6,30.7,22.0,26.9,18.3,62.3,0.0,0.0,0.0,,0.0,0.0,20.5,24.0,31.4,1013.5,11.7,11.0,316.5,27.2,9,,2020-08-11T06:10:10,2020-08-11T20:07:55,0.75,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-12,31.2,23.4,27.1,30.9,23.4,27.1,17.1,56.4,0.0,0.0,0.0,,0.0,0.0,25.9,23.0,38.0,1013.3,2.8,11.1,263.8,22.9,9,,2020-08-12T06:11:09,2020-08-12T20:06:34,0.78,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-13,30.5,23.3,26.6,31.6,23.3,27.2,19.2,65.0,0.0,0.0,0.0,,0.0,0.0,14.8,25.9,40.2,1014.2,17.5,11.0,222.9,19.3,8,,2020-08-13T06:12:09,2020-08-13T20:05:13,0.81,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-14,28.5,22.6,25.4,27.9,22.6,25.3,16.3,59.4,0.0,0.0,0.0,,0.0,0.0,25.9,24.8,50.8,1014.2,6.9,11.1,225.2,19.5,8,,2020-08-14T06:13:09,2020-08-14T20:03:50,0.85,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-15,29.3,21.5,25.1,29.3,21.5,25.2,15.7,56.6,0.0,0.0,0.0,,0.0,0.0,27.7,27.5,51.5,1013.0,8.7,11.1,313.2,27.1,9,,2020-08-15T06:14:08,2020-08-15T20:02:27,0.88,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-16,27.7,22.3,24.6,27.7,22.3,24.6,15.6,57.8,0.0,0.0,0.0,,0.0,0.0,27.7,29.2,39.5,1012.0,22.1,11.2,162.2,14.1,7,,2020-08-16T06:15:08,2020-08-16T20:01:02,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-17,27.5,22.2,24.5,27.5,22.2,24.5,14.4,54.0,0.0,0.0,0.0,,0.0,0.0,27.7,28.4,40.4,1012.9,25.2,11.2,136.6,11.9,6,,2020-08-17T06:16:08,2020-08-17T19:59:36,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-18,27.0,21.4,24.3,28.0,21.4,24.4,16.7,62.8,0.0,0.0,0.0,,0.0,0.0,22.3,23.2,28.1,1009.9,30.7,11.2,144.3,12.3,6,,2020-08-18T06:17:08,2020-08-18T19:58:09,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-19,29.2,19.9,24.7,29.5,19.9,24.9,17.5,66.4,0.0,0.0,0.0,,0.0,0.0,24.1,19.2,36.2,1006.7,17.7,11.2,204.5,17.6,8,,2020-08-19T06:18:08,2020-08-19T19:56:42,0.0,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-20,25.3,19.9,22.8,25.3,19.9,22.8,17.8,73.9,4.147,100.0,4.17,rain,0.0,0.0,16.6,20.2,335.2,1008.1,43.8,10.9,281.3,24.4,9,,2020-08-20T06:19:08,2020-08-20T19:55:13,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-21,28.6,21.0,24.3,29.8,21.0,24.6,18.9,72.3,2.313,100.0,8.33,rain,0.0,0.0,22.3,21.1,2.1,1012.6,39.1,11.2,193.3,16.7,9,,2020-08-21T06:20:07,2020-08-21T19:53:43,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-22,30.9,20.0,24.9,31.9,20.0,25.4,19.6,74.1,0.0,0.0,0.0,,0.0,0.0,18.4,20.5,4.8,1014.3,8.6,10.9,192.2,16.6,8,,2020-08-22T06:21:07,2020-08-22T19:52:13,0.12,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-23,29.5,21.7,25.5,30.0,21.7,25.8,18.9,68.2,0.0,0.0,0.0,,0.0,0.0,22.3,26.5,38.1,1012.0,25.2,11.1,151.9,13.1,7,,2020-08-23T06:22:07,2020-08-23T19:50:42,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-24,29.5,22.5,25.5,31.6,22.5,26.1,19.3,69.4,0.0,0.0,0.0,,0.0,0.0,20.5,27.0,36.1,1010.1,20.9,11.2,172.4,15.1,6,,2020-08-24T06:23:07,2020-08-24T19:49:10,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-25,29.4,22.4,25.4,29.4,22.4,25.6,17.7,63.2,0.0,0.0,0.0,,0.0,0.0,20.3,20.2,27.8,1010.1,8.6,11.2,196.1,17.0,7,,2020-08-25T06:24:06,2020-08-25T19:47:37,0.25,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-26,27.9,20.9,24.7,29.1,20.9,25.0,18.9,70.7,0.0,0.0,0.0,,0.0,0.0,25.9,23.4,39.1,1012.6,30.8,11.2,173.0,15.1,7,,2020-08-26T06:25:06,2020-08-26T19:46:03,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-27,28.7,20.0,24.6,29.7,20.0,24.8,18.3,68.7,0.0,0.0,0.0,,0.0,0.0,20.5,17.9,15.3,1012.1,26.7,11.2,199.4,17.0,8,,2020-08-27T06:26:06,2020-08-27T19:44:29,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-28,31.9,18.1,25.4,31.5,18.1,25.5,15.7,57.1,0.0,0.0,0.0,,0.0,0.0,22.3,23.0,21.1,1011.3,0.0,11.2,297.9,25.9,9,,2020-08-28T06:27:05,2020-08-28T19:42:54,0.33,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-29,31.2,22.7,26.6,32.2,22.7,27.0,16.7,56.1,0.0,0.0,0.0,,0.0,0.0,18.4,24.7,37.2,1011.6,5.4,11.3,290.7,25.0,9,,2020-08-29T06:28:05,2020-08-29T19:41:19,0.36,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2020-08-30,30.4,23.6,26.2,32.2,23.6,26.9,20.3,71.1,0.0,0.0,0.0,,0.0,0.0,22.3,22.9,26.6,1012.4,29.9,11.5,227.0,19.6,8,,2020-08-30T06:29:04,2020-08-30T19:39:42,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
